重庆本地,#genre#
重庆卫视,http://192.168.6.1:8000/udp/235.254.197.237:7980
重庆新闻,http://192.168.6.1:8000/udp/235.254.197.199:7980
重庆影视,http://192.168.6.1:8000/udp/235.254.199.180:7980
重庆社会与法,http://192.168.6.1:8000/udp/235.254.199.181:7980
重庆时尚生活,http://192.168.6.1:8000/udp/235.254.199.182:7980
重庆文体娱乐,http://192.168.6.1:8000/udp/235.254.199.187:7980
重庆新农村,http://192.168.6.1:8000/udp/235.254.199.186:7980
重庆少儿,http://192.168.6.1:8000/udp/235.254.199.166:7980
重庆科教,http://192.168.6.1:8000/udp/235.254.199.188:7980
重庆汽摩,http://192.168.6.1:8000/udp/235.254.199.169:7980
重广融媒,http://192.168.6.1:8000/udp/235.254.197.114:7980
重庆移动,http://192.168.6.1:8000/udp/235.254.199.170:7980
爱看导视,http://113.207.84.197:8090/__cl/cg:live/__c/aikanHD/__op/default/__f/index.m3u8
重庆区县,#genre#
涪陵综合,http://113.207.84.197:8090/__cl/cg:live/__c/fulingzh/__op/default/__f/index.m3u8
丰都综合,http://192.168.6.1:8000/udp/235.254.199.221:7980
石柱综合,http://192.168.6.1:8000/udp/235.254.199.224:7980
城口综合,http://192.168.6.1:8000/udp/235.254.199.218:7980
梁平综合,http://qxlmlive9.cbg.cn/applive/lplive01/chunklist.m3u8
忠县综合,http://qxlmlive9.cbg.cn/applive/zxtv2/chunklist.m3u8
开州综合,http://192.168.6.1:8000/udp/235.254.199.203:7980
黔江综合,http://192.168.6.1:8000/udp/235.254.199.233:7980
酉阳综合,http://192.168.6.1:8000/udp/235.254.199.236:7980
秀山综合,http://192.168.6.1:8000/udp/235.254.199.239:7980
巫山综合,http://qxlmlive9.cbg.cn/applive/wspd001/chunklist.m3u8
巫溪综合,http://192.168.6.1:8000/udp/235.254.199.215:7980
武隆综合,http://192.168.6.1:8000/udp/235.254.198.227:7980
北碚综合,http://222.178.181.121:12034/beibei01.m3u8
铜梁综合,http://183.64.174.171:40123/ch1.m3u8
潼南综合,http://183.230.184.51:65500/tntv1.m3u8?zzhongqd
万盛综合,http://qxlmlive9.cbg.cn/applive/wslive01/chunklist.m3u8
永川综合,http://qxlmlive9.cbg.cn/applive/yctv01/playlist.m3u8
江津综合,http://222.179.155.21:1935/ch1.m3u8
垫江综合,http://125.62.24.185/1.m3u8
璧山综合,http://222.179.42.129:8181/hls1.m3u8?zzhongqd
大足综合,http://218.201.85.71:3170/m3u8?zzhongqd
三峡移民,http://192.168.6.1:8000/udp/235.254.199.200:7980
央视频道,#genre#
CCTV-1,http://192.168.6.1:8000/udp/235.254.199.147:7980#http://192.168.6.1:8000/udp/235.254.199.51:7980#http://113.207.84.197:8090/__cl/cg:live/__c/cctv1HD/__op/default/__f/index.m3u8
CCTV-2,http://192.168.6.1:8000/udp/235.254.199.52:7980
CCTV-3,http://192.168.6.1:8000/udp/235.254.199.53:7980#http://192.168.6.1:8000/udp/235.254.199.141:7980
CCTV-4,http://192.168.6.1:8000/udp/235.254.199.183:7980
CCTV-5,http://192.168.6.1:8000/udp/235.254.199.54:7980
CCTV-5+,http://192.168.6.1:8000/udp/235.254.199.121:7980
CCTV-6,http://192.168.6.1:8000/udp/235.254.199.55:7980#http://192.168.6.1:8000/udp/235.254.199.143:7980
CCTV-7,http://192.168.6.1:8000/udp/235.254.199.56:7980
CCTV-8,http://192.168.6.1:8000/udp/235.254.199.57:7980#http://192.168.6.1:8000/udp/235.254.198.144:1856
CCTV-9,http://192.168.6.1:8000/udp/235.254.199.58:7980
CCTV-10,http://192.168.6.1:8000/udp/235.254.199.59:7980
CCTV-11,http://192.168.6.1:8000/udp/235.254.196.161:7980
CCTV-12,http://192.168.6.1:8000/udp/235.254.199.60:7980
CCTV-13,http://192.168.6.1:8000/udp/235.254.196.162:7980
CCTV-14,http://192.168.6.1:8000/udp/235.254.199.61:7980
CCTV-15,http://192.168.6.1:8000/udp/235.254.196.163:7980
CCTV-16,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226230/index.m3u8
CCTV-17,http://192.168.6.1:8000/udp/235.254.199.130:7980
电视指南,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226987/index.m3u8
兵器科技,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
女性时尚,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226969/index.m3u8
世界地理,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226947/index.m3u8
体育赛事,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225706/index.m3u8
央视台球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
高尔夫网球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8
怀旧剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
第一剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
第一财经,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226966/index.m3u8
文化精品,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226981/index.m3u8
风云剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
风云音乐,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
风云足球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
卫视频道,#genre#
湖南卫视,http://192.168.6.1:8000/udp/235.254.199.62:7980
江苏卫视,http://192.168.6.1:8000/udp/235.254.199.64:7980
浙江卫视,http://192.168.6.1:8000/udp/235.254.199.63:7980
东方卫视,http://192.168.6.1:8000/udp/235.254.199.73:7980
北京卫视,http://192.168.6.1:8000/udp/235.254.199.66:7980
广东卫视,http://192.168.6.1:8000/udp/235.254.197.186:7980
天津卫视,http://192.168.6.1:8000/udp/235.254.199.67:7980
安徽卫视,http://192.168.6.1:8000/udp/235.254.199.65:7980
山东卫视,http://192.168.6.1:8000/udp/235.254.199.69:7980
四川卫视,http://192.168.6.1:8000/udp/235.254.199.175:7980#http://yanyguo.dynv6.net:2333/rtp/239.253.244.50:8000
湖北卫视,http://192.168.6.1:8000/udp/235.254.199.72:7980
辽宁卫视,http://192.168.6.1:8000/udp/235.254.199.68:7980
江西卫视,http://192.168.6.1:8000/udp/235.254.199.190:7980
贵州卫视,http://192.168.6.1:8000/udp/235.254.199.185:7980
河北卫视,http://192.168.6.1:8000/udp/235.254.199.184:7980
黑龙江卫视,http://192.168.6.1:8000/udp/235.254.199.70:7980
海南卫视,http://192.168.6.1:8000/udp/235.254.199.176:7980
东南卫视,http://192.168.6.1:8000/udp/235.254.199.129:7980
河南卫视,http://192.168.6.1:8000/udp/235.254.199.26:7980
吉林卫视,http://192.168.6.1:8000/udp/235.254.199.39:7980
山西卫视,http://192.168.6.1:8000/udp/235.254.199.41:7980
青海卫视,http://192.168.6.1:8000/udp/235.254.199.43:7980
云南卫视,http://192.168.6.1:8000/udp/235.254.199.25:7980
宁夏卫视,http://192.168.6.1:8000/udp/235.254.199.45:7980
新疆卫视,http://192.168.6.1:8000/udp/235.254.199.47:7980
甘肃卫视,http://192.168.6.1:8000/udp/235.254.199.48:7980
陕西卫视,http://192.168.6.1:8000/udp/235.254.199.40:7980
西藏卫视,http://192.168.6.1:8000/udp/235.254.199.46:7980
内蒙古卫视,http://192.168.6.1:8000/udp/235.254.199.42:7980
广西卫视,http://192.168.6.1:8000/udp/235.254.199.38:7980
深圳卫视,http://192.168.6.1:8000/udp/235.254.199.71:7980
兵团卫视,http://192.168.6.1:8000/udp/235.254.197.171:7980
